"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"EVI5"	2.61516815364185e-13	-11.6108446125789	0.193	0.325	9.57177695914455e-09	"0"	"EVI5"
"ZMYM2"	2.69381909770184e-13	-23.5835919084231	0.316	0.446	9.85964727949849e-09	"0"	"ZMYM2"
"LPP"	2.86172760202467e-13	-25.8961832552478	0.284	0.406	1.04742091961705e-08	"0"	"LPP"
"CSMD2"	2.89218437562582e-13	-14.5316134741268	0.071	0.181	1.05856840332281e-08	"0"	"CSMD2"
"MBD5"	3.41449231618094e-13	-75.8255352508712	0.559	0.666	1.24973833264539e-08	"0"	"MBD5"
"NALCN"	3.47181473590729e-13	-24.5768471633084	0.314	0.443	1.27071891148943e-08	"0"	"NALCN"
"FUT9"	3.78773266751231e-13	-41.823707257479	0.386	0.503	1.38634803363618e-08	"0"	"FUT9"
"BACH1"	4.68212866284003e-13	-10.0978455877069	0.023	0.113	1.71370591188608e-08	"0"	"BACH1"
"USP3"	4.70453367235271e-13	-8.36975192490257	0.454	0.56	1.72190636941781e-08	"0"	"USP3"
"FAM135A"	4.86501938183321e-13	-13.322691034738	0.236	0.367	1.78064574394477e-08	"0"	"FAM135A"
"NEO1"	5.71085816337534e-13	-42.2527435448876	0.148	0.275	2.09023119637701e-08	"0"	"NEO1"
"PPM1L"	6.23082199760484e-13	-31.2548155286654	0.257	0.388	2.28054315934335e-08	"0"	"PPM1L"
"ETNK1"	6.56440532341062e-13	-18.4641593040515	0.101	0.218	2.40263799242152e-08	"0"	"ETNK1"
"ADGRB3"	6.90140861181624e-13	-165.280258808899	0.857	0.842	2.52598456601086e-08	"0"	"ADGRB3"
"RNF38"	7.18038292907516e-13	-7.92019967346892	0.171	0.3	2.6280919558708e-08	"0"	"RNF38"
"PICALM"	7.23880290302837e-13	-14.2948051036423	0.268	0.404	2.64947425053741e-08	"0"	"PICALM"
"CAMKMT"	7.26780411573885e-13	-78.7789214689293	0.142	0.269	2.66008898440158e-08	"0"	"CAMKMT"
"OLFM3"	7.5639709162824e-13	-22.7588165874374	0.281	0.4	2.76848899506852e-08	"0"	"OLFM3"
"SYT1"	8.07675896228472e-13	-90.2605948069795	0.706	0.724	2.95617454778583e-08	"0"	"SYT1"
"NR3C1"	8.4713236963621e-13	-8.13765479992185	0.336	0.465	3.10058918610549e-08	"0"	"NR3C1"
"ZNF536"	8.56960822537004e-13	-27.288884230603	0.399	0.517	3.13656230656769e-08	"0"	"ZNF536"
"ANKRD10"	8.63199602381225e-13	-2.16148169422917	0.096	0.214	3.15939686467552e-08	"0"	"ANKRD10"
"CERT1"	8.76532061857644e-13	-16.3990370460714	0.207	0.338	3.20819499960516e-08	"0"	"CERT1"
"NAV1"	8.95925887011035e-13	-21.6410156334852	0.017	0.101	3.27917833904909e-08	"0"	"NAV1"
"DLG1"	9.17702536268724e-13	-27.1752359795721	0.513	0.61	3.35888305299716e-08	"0"	"DLG1"
"TANK"	9.18459311673197e-13	-4.74661713299673	0.058	0.163	3.36165292665507e-08	"0"	"TANK"
"MAP4K4"	1.01468231936776e-12	-39.4354439594404	0.255	0.375	3.71383875711795e-08	"0"	"MAP4K4"
"CASC15"	1.01969671074371e-12	-194.739795298879	0.026	0.114	3.73219193099306e-08	"0"	"CASC15"
"UBE2K"	1.06669306687156e-12	-8.77311606882917	0.309	0.437	3.90420329405659e-08	"0"	"UBE2K"
"UGGT2"	1.09904039006633e-12	-33.7778691783351	0.109	0.225	4.02259773168178e-08	"0"	"UGGT2"
"PPP2R2B"	1.11467184900552e-12	-78.7190402612499	0.087	0.199	4.0798104345451e-08	"0"	"PPP2R2B"
"SCN3A"	1.13797347716494e-12	-3.76729767951803	0.117	0.236	4.16509672377139e-08	"0"	"SCN3A"
"UBE2E2"	1.36551697814401e-12	-22.8182928440134	0.417	0.529	4.99792869170488e-08	"0"	"UBE2E2"
"PLCL1"	1.37278675608223e-12	-65.4629790268487	0.136	0.253	5.02453680593656e-08	"0"	"PLCL1"
"GTDC1"	1.57127153890076e-12	-9.17158665212738	0.094	0.205	5.75101095953066e-08	"0"	"GTDC1"
"PHKB"	1.69229196962959e-12	-4.5320600750646	0.168	0.295	6.19395783804126e-08	"0"	"PHKB"
"AC073050.1"	1.83489332163998e-12	-6.53039284817766	0.065	0.169	6.71589304653448e-08	"0"	"AC073050.1"
"GAB1"	1.92144463743924e-12	-131.870118598086	0.074	0.179	7.03267951749138e-08	"0"	"GAB1"
"LCOR"	1.99850179351918e-12	-16.2478184040507	0.299	0.423	7.31471641445955e-08	"0"	"LCOR"
"TMEM135"	2.02204384119159e-12	-5.40842791586242	0.101	0.216	7.40088266314535e-08	"0"	"TMEM135"
"GNAQ"	2.04048744865517e-12	-35.6533162257206	0.119	0.234	7.4683881108228e-08	"0"	"GNAQ"
"GALNT13"	2.0427997380364e-12	-51.3039482184339	0.581	0.642	7.47685132118701e-08	"0"	"GALNT13"
"DCDC1"	2.08667595111445e-12	-180.303528067902	0.026	0.113	7.63744264867398e-08	"0"	"DCDC1"
"CDK6"	2.1809403074209e-12	-60.4272423355384	0.048	0.145	7.98245961919124e-08	"0"	"CDK6"
"BBS9"	2.20282539621423e-12	-19.1021465025834	0.229	0.359	8.06256123268371e-08	"0"	"BBS9"
"CHCHD3"	2.24093809297283e-12	-3.47485137209234	0.159	0.28	8.20205751408987e-08	"0"	"CHCHD3"
"ABI1"	2.26718847002176e-12	-6.57239707216971	0.135	0.257	8.29813651912664e-08	"0"	"ABI1"
"DENND1A"	2.45267033029306e-12	-16.6112362459118	0.329	0.453	8.97701867590564e-08	"0"	"DENND1A"
"PPP1R12A"	2.590761254161e-12	-10.6270113460061	0.233	0.357	9.48244526635467e-08	"0"	"PPP1R12A"
