"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SMARCD2"	0.0013151656249463	0.541354199810563	0.273	0.209	1	"3"	"SMARCD2"
"ZBTB8OS.2"	0.00132531636066096	-1.5426467260405	0.4	0.319	1	"3"	"ZBTB8OS"
"BEND7.1"	0.0013274875694509	-1.52487219305996	0.166	0.112	1	"3"	"BEND7"
"AL450384.2"	0.00133237654170818	0.307567048318812	0.116	0.071	1	"3"	"AL450384.2"
"THRAP3.2"	0.0013426200692096	-2.70228447986929	0.436	0.36	1	"3"	"THRAP3"
"TTC5"	0.00136054387558192	0.816757543061694	0.14	0.092	1	"3"	"TTC5"
"DSE.1"	0.0013674661506375	-0.360952664282395	0.216	0.154	1	"3"	"DSE"
"MRPS30-DT.1"	0.00137009235746221	-8.46175834558072	0.147	0.099	1	"3"	"MRPS30-DT"
"SF3B3.2"	0.00137043764423038	-0.884644120584474	0.32	0.251	1	"3"	"SF3B3"
"PAPOLG.1"	0.00137700128358614	-3.49402325374413	0.213	0.154	1	"3"	"PAPOLG"
"MRPL22"	0.00138034663307665	0.340192421152067	0.104	0.063	1	"3"	"MRPL22"
"FSTL4.2"	0.0013832593629588	-175.946880197153	0.28	0.209	1	"3"	"FSTL4"
"CCDC171.1"	0.00138903797165033	1.98459257239723	0.32	0.254	1	"3"	"CCDC171"
"LINC00265"	0.0013890472427049	0.465343360996017	0.1	0.059	1	"3"	"LINC00265"
"NUP188.2"	0.00138931286008692	0.372294426835223	0.209	0.149	1	"3"	"NUP188"
"PPP1R3E"	0.00139781236200289	0.336513041243522	0.133	0.085	1	"3"	"PPP1R3E"
"ACTL6B.1"	0.00141674134859606	0.526572529975539	0.201	0.144	1	"3"	"ACTL6B"
"ZBTB10.2"	0.00141849117595817	-0.565284607874323	0.178	0.122	1	"3"	"ZBTB10"
"BRK1"	0.00142252664485012	0.250526264910552	0.13	0.083	1	"3"	"BRK1"
"RPS27L"	0.00142576191638818	0.253199582043016	0.123	0.078	1	"3"	"RPS27L"
"CMPK1.1"	0.00142598431276036	0.590481634235574	0.216	0.156	1	"3"	"CMPK1"
"ZFYVE26.1"	0.00143618889573292	0.422603837013224	0.22	0.16	1	"3"	"ZFYVE26"
"SCLT1.2"	0.00144741291991907	1.10101479380062	0.36	0.3	1	"3"	"SCLT1"
"RBKS.1"	0.00145052018033487	2.37298986310635	0.14	0.09	1	"3"	"RBKS"
"ZBTB41.1"	0.00146254924504544	0.259481904521027	0.161	0.109	1	"3"	"ZBTB41"
"GGA1"	0.00147352803363647	0.279996578338955	0.216	0.155	1	"3"	"GGA1"
"CLCN6"	0.00149037751211403	0.551358916780281	0.168	0.116	1	"3"	"CLCN6"
"FANCI.2"	0.00149754804804258	-4.8397330289864	0.161	0.111	1	"3"	"FANCI"
"ATP6AP2"	0.00150632360252749	0.280946283669641	0.1	0.059	1	"3"	"ATP6AP2"
"LANCL1.2"	0.00151247326305455	-0.681321622698474	0.227	0.163	1	"3"	"LANCL1"
"PAK2.2"	0.00154720983203617	-3.60414688643764	0.327	0.254	1	"3"	"PAK2"
"BID.1"	0.00155772954574588	0.552304237791651	0.201	0.144	1	"3"	"BID"
"AGBL3.1"	0.00156049572100902	-0.429440301645596	0.159	0.107	1	"3"	"AGBL3"
"CSRNP3.2"	0.00156349410143961	-1.65050832551193	0.145	0.095	1	"3"	"CSRNP3"
"SLC35B3"	0.00157905984188364	0.282811559184846	0.123	0.078	1	"3"	"SLC35B3"
"SPACA6"	0.00159789290693832	0.26841578898023	0.223	0.162	1	"3"	"SPACA6"
"UBE2G1.1"	0.00160105305765869	-3.1305310630192	0.282	0.222	1	"3"	"UBE2G1"
"TMEM192.1"	0.00161396922079043	0.289887039249118	0.19	0.135	1	"3"	"TMEM192"
"DDX19B.1"	0.00161632559173719	0.879733518313637	0.254	0.19	1	"3"	"DDX19B"
"IGF2R.2"	0.00164262631252053	0.419054970969071	0.263	0.204	1	"3"	"IGF2R"
"NIPAL2"	0.00165972726053267	0.490634853347371	0.114	0.071	1	"3"	"NIPAL2"
"AFAP1.2"	0.00166247706165003	-0.910988720599236	0.187	0.131	1	"3"	"AFAP1"
"GPATCH2.2"	0.00167698270479986	-1.88594742944554	0.18	0.126	1	"3"	"GPATCH2"
"ZSCAN5A.1"	0.00167810848600621	-6.51473035404867	0.175	0.121	1	"3"	"ZSCAN5A"
"BOD1L1.1"	0.00168266752766936	-0.68571911606495	0.517	0.452	1	"3"	"BOD1L1"
"TVP23A"	0.00168434728069804	0.944815093295195	0.178	0.123	1	"3"	"TVP23A"
"CCM2.1"	0.00168526361202154	-0.978229986843782	0.287	0.222	1	"3"	"CCM2"
"DHRSX.2"	0.00171240350784275	-2.22778424728433	0.398	0.326	1	"3"	"DHRSX"
"CKMT2-AS1.1"	0.00171728261142659	-3.2386699915532	0.19	0.134	1	"3"	"CKMT2-AS1"
"YWHAG.1"	0.00173635727811285	-0.648285617751642	0.216	0.156	1	"3"	"YWHAG"
"ZNF626.1"	0.0017550298701266	2.43771799358243	0.282	0.217	1	"3"	"ZNF626"
"LRP11.1"	0.00176425924152477	0.823887972319594	0.152	0.101	1	"3"	"LRP11"
"COL21A1"	0.00176630980222644	1.41949768855963	0.107	0.065	1	"3"	"COL21A1"
"GTDC1.2"	0.00177530524495481	-4.25684639761263	0.27	0.209	1	"3"	"GTDC1"
"MTMR14.2"	0.00179045418617831	0.581432395012525	0.185	0.131	1	"3"	"MTMR14"
"FAM117B.1"	0.00179422766284858	-1.06386894597505	0.303	0.232	1	"3"	"FAM117B"
"MTPAP.1"	0.00182229833013694	0.252026940559412	0.145	0.096	1	"3"	"MTPAP"
"ADCY8.1"	0.00182414237995357	-13.7072669361143	0.123	0.077	1	"3"	"ADCY8"
"MPZL1.1"	0.00182594910245077	-12.4086104972623	0.147	0.098	1	"3"	"MPZL1"
"HNRNPL.2"	0.00182945044388817	0.648465996517857	0.299	0.225	1	"3"	"HNRNPL"
"NIPSNAP2.1"	0.00183087878012977	-49.7651754829366	0.391	0.318	1	"3"	"NIPSNAP2"
"SMAD5.1"	0.00183296085314755	-0.314537714904333	0.22	0.161	1	"3"	"SMAD5"
"NFIC.1"	0.00183411467774677	-1.74752400776148	0.557	0.478	1	"3"	"NFIC"
"THOC7"	0.00183491097690643	0.328838968853082	0.114	0.071	1	"3"	"THOC7"
"SNX3.1"	0.00183724191514807	0.995450397494376	0.18	0.127	1	"3"	"SNX3"
"DHX8.1"	0.00183806404002043	1.3007397917049	0.251	0.191	1	"3"	"DHX8"
"ERI1"	0.00184508687678243	0.323940545109065	0.102	0.062	1	"3"	"ERI1"
"SMARCA1.1"	0.00184919090867826	-30.5669729518902	0.244	0.181	1	"3"	"SMARCA1"
"RFX2.2"	0.0018748675144851	-8.08281766184373	0.18	0.124	1	"3"	"RFX2"
"GCLC.1"	0.00187624276784238	-1.85786584986825	0.137	0.09	1	"3"	"GCLC"
"DISP1.1"	0.00193207929638139	-16.9591223668357	0.161	0.111	1	"3"	"DISP1"
"WDR11-AS1.1"	0.00194344647023346	0.270860526900762	0.126	0.081	1	"3"	"WDR11-AS1"
"PIP4P2"	0.00196210674315826	0.58712994450928	0.104	0.064	1	"3"	"PIP4P2"
"PDCD6IP.2"	0.00196776191936446	0.74081180962349	0.344	0.275	1	"3"	"PDCD6IP"
"GNPAT.2"	0.00199105994832425	-0.287120908746407	0.211	0.15	1	"3"	"GNPAT"
"PLCG1.1"	0.00199767351323971	0.357817190677878	0.318	0.252	1	"3"	"PLCG1"
"GTF3C3.1"	0.00200768210515764	0.523844074572797	0.135	0.089	1	"3"	"GTF3C3"
"CHMP5"	0.00201776197065921	-1.75340769481922	0.111	0.068	1	"3"	"CHMP5"
"NT5DC1.2"	0.00202802851778045	-1.04677118543475	0.145	0.095	1	"3"	"NT5DC1"
"AL031658.1.1"	0.00203455377671008	-13.3732252303244	0.27	0.204	1	"3"	"AL031658.1"
"EIPR1.1"	0.00203914757456504	0.446638157598081	0.218	0.159	1	"3"	"EIPR1"
"WWP2.1"	0.00206748046952413	-0.403428236573055	0.355	0.29	1	"3"	"WWP2"
"C2"	0.00207924585604193	0.31917480240954	0.13	0.085	1	"3"	"C2"
"PCGF6.1"	0.00208109285385641	0.732386201823213	0.239	0.178	1	"3"	"PCGF6"
"AC108047.1.1"	0.00211725316979443	0.588490269265005	0.161	0.111	1	"3"	"AC108047.1"
"PEAK1.1"	0.00212783053929409	-30.0649840738263	0.36	0.301	1	"3"	"PEAK1"
"PREP.1"	0.00214416009179042	-1.61580388688093	0.164	0.113	1	"3"	"PREP"
"AP3B1.3"	0.00217239206610916	-8.80751590352212	0.32	0.259	1	"3"	"AP3B1"
"THADA.2"	0.00218630829707641	-3.17326249517943	0.313	0.254	1	"3"	"THADA"
"TMEM39A.2"	0.00219702117249886	-2.4706478586535	0.154	0.104	1	"3"	"TMEM39A"
"TRA2B.2"	0.00220172333914503	-4.13400083575592	0.377	0.303	1	"3"	"TRA2B"
"NLK.2"	0.00220700614569417	-0.877799382253401	0.263	0.204	1	"3"	"NLK"
"ECHDC2.1"	0.00221082450180375	-0.408056556914124	0.377	0.305	1	"3"	"ECHDC2"
"HS1BP3"	0.00221816009321274	0.517258414436153	0.102	0.062	1	"3"	"HS1BP3"
"ZP2"	0.00222203523825792	0.307150007052977	0.164	0.113	1	"3"	"ZP2"
"AC021752.1.1"	0.00222575028203848	0.287817871489894	0.152	0.103	1	"3"	"AC021752.1"
"PHF12.2"	0.002259952423089	0.254193341494589	0.254	0.195	1	"3"	"PHF12"
"DSCAML1.3"	0.00226336949568362	-40.631494532107	0.13	0.187	1	"3"	"DSCAML1"
"NAP1L4.2"	0.00226525248659721	-1.39020434915822	0.313	0.243	1	"3"	"NAP1L4"
"TSEN15"	0.00226546196196629	-6.64481948415118	0.109	0.068	1	"3"	"TSEN15"
"UBE2L3.1"	0.00229480902532601	0.336391357157168	0.239	0.179	1	"3"	"UBE2L3"
"GGNBP2.1"	0.00232400381183566	0.295498873452972	0.306	0.241	1	"3"	"GGNBP2"
"ALOX12-AS1.2"	0.00232879745467576	-1.16085875425321	0.246	0.186	1	"3"	"ALOX12-AS1"
"RTN4RL1"	0.00234974137091615	0.357209236127083	0.107	0.067	1	"3"	"RTN4RL1"
"BBS7.1"	0.00235997436517236	0.318106261769214	0.19	0.136	1	"3"	"BBS7"
"SH3GLB1.2"	0.00237674023485621	-266.794515262586	0.299	0.225	1	"3"	"SH3GLB1"
"RNF185.2"	0.00238619625837995	0.645677898327997	0.175	0.123	1	"3"	"RNF185"
"DNAJC10.3"	0.00241118503967395	0.51203352598903	0.185	0.131	1	"3"	"DNAJC10"
"ZGRF1.1"	0.0024269734753941	-4.58795371194977	0.19	0.135	1	"3"	"ZGRF1"
"RPP38"	0.0024376874057795	0.505368403767985	0.111	0.071	1	"3"	"RPP38"
"STARD3"	0.00243819044994892	-0.753534242137996	0.123	0.079	1	"3"	"STARD3"
"EIF2B3.1"	0.00246159896555488	-0.39328170296892	0.363	0.294	1	"3"	"EIF2B3"
"MTHFD2L.2"	0.00246973090891197	-0.346429418355736	0.147	0.098	1	"3"	"MTHFD2L"
"ADNP2.1"	0.0024720396357403	0.832824173207693	0.152	0.103	1	"3"	"ADNP2"
"APIP.1"	0.0024721955051573	0.460524473246378	0.142	0.095	1	"3"	"APIP"
"SMC5-AS1"	0.00247282240282991	0.581613364357108	0.107	0.066	1	"3"	"SMC5-AS1"
"PAIP2B.1"	0.0024746310998576	0.568678640002413	0.137	0.091	1	"3"	"PAIP2B"
"ATP6V1E1"	0.00251692438121755	0.27604811927635	0.164	0.112	1	"3"	"ATP6V1E1"
"CC2D1A.1"	0.00253599384521681	0.401325864291834	0.227	0.168	1	"3"	"CC2D1A"
"PC"	0.00255825593551223	0.982110668519338	0.242	0.18	1	"3"	"PC"
"MARCKS.3"	0.00258446344766688	-5.75159595439073	0.107	0.162	1	"3"	"MARCKS"
"MLXIPL"	0.0025875154252955	0.436087425057878	0.258	0.197	1	"3"	"MLXIPL"
"TMX2.1"	0.00259006438552319	0.382289269176056	0.22	0.163	1	"3"	"TMX2"
"IKZF2.2"	0.0026125047186873	0.332035640387423	0.14	0.092	1	"3"	"IKZF2"
"RESF1.1"	0.00262033649869588	-2.80104142934918	0.273	0.207	1	"3"	"RESF1"
"GEMIN5.2"	0.00262283734608747	0.307930952948769	0.147	0.099	1	"3"	"GEMIN5"
"BTBD9.3"	0.00262511504789501	-39.1407961089297	0.408	0.354	1	"3"	"BTBD9"
"GCN1.2"	0.00263391423864608	0.527772495976273	0.265	0.203	1	"3"	"GCN1"
"STK31"	0.00265515061579923	0.592414339132661	0.13	0.087	1	"3"	"STK31"
"ZC3H7B.1"	0.00266134464713681	0.334826800814148	0.27	0.205	1	"3"	"ZC3H7B"
"SEC61A2.2"	0.00266709544658725	-0.55671495800182	0.197	0.142	1	"3"	"SEC61A2"
"RHEB.1"	0.00266761138195409	-4.07115319534861	0.154	0.104	1	"3"	"RHEB"
"STPG1"	0.0026813745636392	0.272704262159759	0.104	0.065	1	"3"	"STPG1"
"FANCA"	0.00269407623798169	-0.723358109318727	0.145	0.098	1	"3"	"FANCA"
"TRNAU1AP.1"	0.00270772375978876	0.336062631738843	0.294	0.227	1	"3"	"TRNAU1AP"
"MSH6.1"	0.00271507016034927	-2.57440044678884	0.227	0.166	1	"3"	"MSH6"
"CDC40.2"	0.00275295378589777	0.326760426588011	0.19	0.135	1	"3"	"CDC40"
"LRCH2.1"	0.00275990590224663	-1.62108378276836	0.133	0.087	1	"3"	"LRCH2"
"TCTN3"	0.00277509311276868	0.293834193235411	0.114	0.072	1	"3"	"TCTN3"
"OSBPL11.2"	0.0027982212812516	0.488300613748333	0.156	0.108	1	"3"	"OSBPL11"
"PSAP.3"	0.00279894703478733	-0.632422659534702	0.246	0.182	1	"3"	"PSAP"
"AC138150.1.1"	0.00280668498708164	0.446987376890686	0.206	0.151	1	"3"	"AC138150.1"
"TAOK3.2"	0.00282792472117036	-6.5672155286442	0.41	0.34	1	"3"	"TAOK3"
"SORT1.3"	0.00283137226664829	-5.28661433889052	0.062	0.108	1	"3"	"SORT1"
"HOOK2.1"	0.00283219817816264	0.411335101193488	0.175	0.124	1	"3"	"HOOK2"
"AFMID.2"	0.00283324900863818	-3.08781355442203	0.443	0.36	1	"3"	"AFMID"
"ZNF675.2"	0.0028597221057293	0.894576354950968	0.187	0.133	1	"3"	"ZNF675"
"TLE5.2"	0.00286901419107661	0.581357213060517	0.336	0.27	1	"3"	"TLE5"
"ATXN3.1"	0.00287282195011883	0.260079146417594	0.27	0.207	1	"3"	"ATXN3"
"CPNE9"	0.00288718134139623	0.338261213238077	0.156	0.107	1	"3"	"CPNE9"
"FAM120C.1"	0.00289380156473272	0.437190606681389	0.175	0.125	1	"3"	"FAM120C"
"SCCPDH.1"	0.0028963117737833	0.27878606589558	0.135	0.09	1	"3"	"SCCPDH"
"AC026341.1.1"	0.00298355100340872	0.476998247283795	0.135	0.09	1	"3"	"AC026341.1"
"TAF4B.1"	0.00299251074204173	-14.5746210631898	0.133	0.087	1	"3"	"TAF4B"
"EML6.1"	0.00299907329824748	-5.56909387154754	0.235	0.182	1	"3"	"EML6"
"NOC3L"	0.00303630118054812	0.348720355065958	0.116	0.074	1	"3"	"NOC3L"
"CCDC93.2"	0.00304956440971662	-0.596749532479365	0.249	0.183	1	"3"	"CCDC93"
"FKBP15.1"	0.0030955484059838	0.442656175469174	0.194	0.14	1	"3"	"FKBP15"
"BLMH.1"	0.00312313235633953	0.616508955741881	0.137	0.094	1	"3"	"BLMH"
"BAG4.1"	0.00312771999185717	0.535531698173342	0.173	0.123	1	"3"	"BAG4"
"ZNF529-AS1"	0.00314790678377986	0.250904445023718	0.19	0.136	1	"3"	"ZNF529-AS1"
"NIM1K.1"	0.00315456338710377	0.40600023543148	0.13	0.087	1	"3"	"NIM1K"
"RAD51B.2"	0.00315462740601374	-30.0809566755578	0.071	0.121	1	"3"	"RAD51B"
"CNOT9.1"	0.00315822113758931	0.453896477573043	0.204	0.151	1	"3"	"CNOT9"
"CAB39L.2"	0.0031637354384219	-1.81464126023705	0.149	0.104	1	"3"	"CAB39L"
"SEC11A.2"	0.00317649557564473	0.433737431224987	0.178	0.126	1	"3"	"SEC11A"
"SEM1.1"	0.00318666990796687	-44.3049106886931	0.244	0.188	1	"3"	"SEM1"
"STAT2.2"	0.00318686790050224	-1.44757880628221	0.244	0.183	1	"3"	"STAT2"
"DNAJA3"	0.00320304847855847	0.345403420427783	0.135	0.09	1	"3"	"DNAJA3"
"PIK3R4.1"	0.0032223199255482	0.527183644649675	0.159	0.111	1	"3"	"PIK3R4"
"FSD1L.1"	0.00323143659444766	-0.537118780537421	0.206	0.151	1	"3"	"FSD1L"
"ABCE1.2"	0.00324863785619199	-1.71064720074433	0.159	0.108	1	"3"	"ABCE1"
"EXD3.1"	0.00325581379571817	-2.49898846952247	0.282	0.217	1	"3"	"EXD3"
"HAUS6.1"	0.00325707061583465	0.266928483727594	0.156	0.108	1	"3"	"HAUS6"
"PLBD2.2"	0.00326087210946676	-0.629794197720768	0.284	0.22	1	"3"	"PLBD2"
"CORO1C.2"	0.00329634110333231	-2.06633727391971	0.216	0.16	1	"3"	"CORO1C"
"ABL1.1"	0.00331026207302121	1.10765779149066	0.306	0.247	1	"3"	"ABL1"
"AL162253.2.1"	0.00332674541398746	-2.95663297690834	0.161	0.112	1	"3"	"AL162253.2"
"ZNF596"	0.00333487595467439	0.484258654519927	0.137	0.092	1	"3"	"ZNF596"
"PLEKHM2"	0.00334592376802968	0.49026993925553	0.265	0.207	1	"3"	"PLEKHM2"
"ZC3H8.2"	0.00336240817982954	0.510705880376076	0.244	0.188	1	"3"	"ZC3H8"
"IMMT.1"	0.00337727267741191	1.44605980368675	0.256	0.195	1	"3"	"IMMT"
"CYP51A1.1"	0.00338546232815292	-4.2493638709746	0.171	0.12	1	"3"	"CYP51A1"
"PRDM11.1"	0.00340257047929462	0.307910184856177	0.175	0.124	1	"3"	"PRDM11"
"SPG7.2"	0.00340352000813743	0.393140207614075	0.415	0.345	1	"3"	"SPG7"
"NBPF12.2"	0.0034424664121859	0.677619140678625	0.147	0.099	1	"3"	"NBPF12"
"ZNF700.1"	0.00346189550958321	0.26479185587916	0.147	0.101	1	"3"	"ZNF700"
"KANSL2.2"	0.00347901372050809	0.281391868487439	0.204	0.15	1	"3"	"KANSL2"
"ACTR1A"	0.00350342467991125	0.303125702013677	0.185	0.133	1	"3"	"ACTR1A"
"KYAT1.1"	0.00360311473524948	0.370214404890739	0.232	0.173	1	"3"	"KYAT1"
"FRA10AC1.1"	0.00362727994716829	2.22209850297992	0.237	0.18	1	"3"	"FRA10AC1"
"WDR60.1"	0.00367776955493984	-10.4229985128682	0.393	0.331	1	"3"	"WDR60"
"TRIM24.2"	0.00367957887112937	-3.36328333659757	0.254	0.194	1	"3"	"TRIM24"
"PEBP1.2"	0.00371455903190788	-0.954322963810473	0.076	0.124	1	"3"	"PEBP1"
"MDH1.1"	0.00373003795351995	-0.846920101880069	0.166	0.117	1	"3"	"MDH1"
"PRKCA.3"	0.00373768979639594	-91.6599122057954	0.09	0.141	1	"3"	"PRKCA"
"RMDN2"	0.00378616421107233	1.09856805024008	0.116	0.076	1	"3"	"RMDN2"
"ADGRA2"	0.00380738339512644	0.290348742248442	0.107	0.067	1	"3"	"ADGRA2"
"WDR25.1"	0.00385042807996313	1.65237194387847	0.173	0.124	1	"3"	"WDR25"
"CAST.2"	0.00385199605643167	-0.25123441605344	0.185	0.131	1	"3"	"CAST"
"FLG-AS1.1"	0.00385216812700895	-0.375201368807771	0.133	0.09	1	"3"	"FLG-AS1"
"VPS8.1"	0.00385790453593031	0.280859610848146	0.344	0.287	1	"3"	"VPS8"
"SLC4A5.2"	0.00387161534730087	-0.602315781419883	0.239	0.181	1	"3"	"SLC4A5"
"ABAT.1"	0.00387565553461168	-2.30254915313396	0.296	0.236	1	"3"	"ABAT"
"BCAR3.2"	0.00395156774774687	-92.1445264413028	0.083	0.131	1	"3"	"BCAR3"
"TET1.1"	0.0040061860126872	-3.1429629704456	0.27	0.21	1	"3"	"TET1"
"MCCC2.2"	0.00401052974909327	0.456530981751981	0.197	0.145	1	"3"	"MCCC2"
"POT1.1"	0.00402582827310602	1.41254391204413	0.185	0.135	1	"3"	"POT1"
"NT5C3A.2"	0.00410359039393936	-0.623784020634042	0.185	0.133	1	"3"	"NT5C3A"
"ELK4.1"	0.00416015250578044	-0.283676833889798	0.133	0.089	1	"3"	"ELK4"
"CLTCL1.1"	0.00421136122033217	1.12392257480052	0.18	0.131	1	"3"	"CLTCL1"
"KALRN.3"	0.00428718215469341	-44.3217465472978	0.073	0.119	1	"3"	"KALRN"
"CTNNBL1.1"	0.00429425164496316	-2.65213271251679	0.178	0.129	1	"3"	"CTNNBL1"
"TRIP11.1"	0.0043356203025645	0.561570104236675	0.372	0.311	1	"3"	"TRIP11"
"ALDH18A1"	0.0043673061144736	0.875660284474039	0.123	0.082	1	"3"	"ALDH18A1"
"AC233976.1"	0.0044420594697983	-3.18814773404962	0.123	0.083	1	"3"	"AC233976.1"
"COL28A1"	0.00451295784125895	0.542666816313301	0.116	0.076	1	"3"	"COL28A1"
"HABP4.1"	0.00456828942738049	-0.304977909740611	0.237	0.179	1	"3"	"HABP4"
"AMFR.1"	0.0045780410978067	0.50558184454286	0.159	0.112	1	"3"	"AMFR"
"EIF2AK3.1"	0.00458784017532983	-0.947744708430751	0.168	0.121	1	"3"	"EIF2AK3"
"EFCAB5"	0.00458800576134021	0.498563427852628	0.121	0.08	1	"3"	"EFCAB5"
"PHC1.2"	0.00460071906581768	-1.48270580223997	0.216	0.161	1	"3"	"PHC1"
"PIGG"	0.00461671114318615	0.57739640348566	0.209	0.157	1	"3"	"PIGG"
"RSRC2.2"	0.004662898039749	-11.8201259750751	0.332	0.264	1	"3"	"RSRC2"
"MDM4.3"	0.00470341124924325	-4.25519029060909	0.417	0.356	1	"3"	"MDM4"
"AF279873.3.1"	0.00471589883092843	3.04498291833605	0.18	0.134	1	"3"	"AF279873.3"
"FAM49A.2"	0.00476105427277115	-1.38794210977393	0.175	0.126	1	"3"	"FAM49A"
"PRKAR1B.1"	0.00492507836901145	-6.99850400944363	0.41	0.34	1	"3"	"PRKAR1B"
"RFWD3"	0.00494467098528137	1.78631865884555	0.128	0.086	1	"3"	"RFWD3"
"TPR.2"	0.00498864538799529	-8.33831654199454	0.445	0.385	1	"3"	"TPR"
"PRDM4.2"	0.0050045250501011	0.418925876682966	0.156	0.11	1	"3"	"PRDM4"
"ZNF212"	0.00502242866697553	0.56886335796257	0.111	0.073	1	"3"	"ZNF212"
"SCFD2.2"	0.00503276565746675	-4.36419128419688	0.299	0.243	1	"3"	"SCFD2"
"UPRT"	0.00520660786464755	1.02943728230409	0.102	0.065	1	"3"	"UPRT"
"USP13.2"	0.0052417540917947	-4.91724056315649	0.223	0.17	1	"3"	"USP13"
"TJP2.3"	0.00530480149510638	-4.04702656085763	0.156	0.112	1	"3"	"TJP2"
"AASDH.1"	0.00532185800729298	0.372974869813831	0.194	0.143	1	"3"	"AASDH"
"ZC3H18.1"	0.00533389394926522	0.960175129858755	0.22	0.17	1	"3"	"ZC3H18"
"KIF2A.2"	0.00537112522322824	-0.64127253931403	0.28	0.224	1	"3"	"KIF2A"
"USP12.1"	0.00538544881158676	0.886798075195967	0.209	0.157	1	"3"	"USP12"
"FUBP3.2"	0.00543045779511413	0.766710914000047	0.32	0.253	1	"3"	"FUBP3"
"LEO1"	0.00548555376910346	0.468896717942277	0.175	0.128	1	"3"	"LEO1"
"DHTKD1.2"	0.00556537038882515	-1.21225160390062	0.294	0.234	1	"3"	"DHTKD1"
"DLG4.1"	0.00558069370620541	-0.397520053957285	0.211	0.157	1	"3"	"DLG4"
"PIP5K1C"	0.00569028552122177	0.661011627803877	0.36	0.292	1	"3"	"PIP5K1C"
"WHAMM"	0.00570868055049739	0.251494291956062	0.137	0.096	1	"3"	"WHAMM"
"AC130324.2"	0.00572244885795901	0.643074161696969	0.109	0.071	1	"3"	"AC130324.2"
"ADAM32"	0.00575969392729427	-1.12370633829778	0.114	0.075	1	"3"	"ADAM32"
"LSM6"	0.00580404079842109	-1.81396032030811	0.102	0.065	1	"3"	"LSM6"
"Z95118.2"	0.0058950805623731	1.16720579767885	0.102	0.066	1	"3"	"Z95118.2"
"MPHOSPH8.1"	0.00590356929972472	-0.51234384651121	0.367	0.298	1	"3"	"MPHOSPH8"
"MOB1B.1"	0.00590619513080915	1.54644997820244	0.168	0.121	1	"3"	"MOB1B"
"FAM118B"	0.00591504064900069	0.300958337193018	0.102	0.066	1	"3"	"FAM118B"
"AL807742.1"	0.00605150043685911	6.29329332338391	0.135	0.094	1	"3"	"AL807742.1"
"UBE2J1.1"	0.00605275181320603	0.3769478778868	0.145	0.101	1	"3"	"UBE2J1"
"AL137139.2.1"	0.00610416104649598	-36.3947043624994	0.393	0.352	1	"3"	"AL137139.2"
"DPH6.1"	0.006121710897482	-10.5196931807091	0.306	0.245	1	"3"	"DPH6"
"SPOPL.1"	0.00616074145106702	0.363670318711298	0.156	0.112	1	"3"	"SPOPL"
"NAF1.1"	0.00617523271289531	-1.43649613557853	0.14	0.097	1	"3"	"NAF1"
"WIPF2.1"	0.00625292069422909	0.453164501570405	0.287	0.232	1	"3"	"WIPF2"
"SEL1L.1"	0.00630356954182427	0.325530837893701	0.171	0.124	1	"3"	"SEL1L"
"ARID1A.2"	0.00631523425950419	-1.23580979613869	0.417	0.353	1	"3"	"ARID1A"
"SYT7.2"	0.00636952588940908	-11.8545458385047	0.261	0.202	1	"3"	"SYT7"
"CSNK1G1.2"	0.00645137637670377	-2.17937030952345	0.273	0.218	1	"3"	"CSNK1G1"
"ZNF623"	0.00651731841656659	0.441594681036579	0.114	0.075	1	"3"	"ZNF623"
"PHLDB1.1"	0.00657165891539267	-1.45060043418858	0.206	0.15	1	"3"	"PHLDB1"
"SCG5.1"	0.00660711356418011	0.602132756152268	0.128	0.088	1	"3"	"SCG5"
"PER1.1"	0.00661311827356033	-2.73071175127347	0.175	0.127	1	"3"	"PER1"
"THRA"	0.00662764900852839	0.312409661951289	0.291	0.232	1	"3"	"THRA"
"MTERF1.1"	0.00668409786927034	1.65186878267721	0.197	0.149	1	"3"	"MTERF1"
"CRK.1"	0.0067179557440975	0.319904371429928	0.313	0.253	1	"3"	"CRK"
"MAP7D2.1"	0.00675529632272746	0.398870589235508	0.168	0.122	1	"3"	"MAP7D2"
"MTMR4.1"	0.00682480902347232	0.256335962500679	0.256	0.198	1	"3"	"MTMR4"
"CTTNBP2NL.2"	0.0068854739701917	-1.700498543328	0.14	0.096	1	"3"	"CTTNBP2NL"
"PRMT9.2"	0.00688922430694891	0.55914975047443	0.152	0.107	1	"3"	"PRMT9"
"SLC1A2.2"	0.00698124522808892	-24.1513966080492	0.154	0.106	1	"3"	"SLC1A2"
"SEMA6A.3"	0.0070210696675655	-57.5493705506252	0.339	0.282	1	"3"	"SEMA6A"
"PPP1R10.1"	0.00703245674453925	0.35078390236093	0.268	0.212	1	"3"	"PPP1R10"
"CEP126.2"	0.00703867508921848	-5.84729678266425	0.275	0.214	1	"3"	"CEP126"
"DTWD1.1"	0.00704015724803556	0.362146461631098	0.23	0.18	1	"3"	"DTWD1"
"PLEKHO1.1"	0.00705073262505727	0.282883044096061	0.194	0.144	1	"3"	"PLEKHO1"
"AZIN1"	0.00711165725162372	0.261955932807121	0.111	0.074	1	"3"	"AZIN1"
"PTP4A2.1"	0.00716438509622562	-2.63370072228516	0.152	0.107	1	"3"	"PTP4A2"
