"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ZFPM2"	3.73988981224153e-35	-132.648158515911	0.803	0.846	1.36883707017852e-30	"0"	"ZFPM2"
"WDFY3"	3.84804107746406e-35	-39.972532057302	0.554	0.731	1.40842151476262e-30	"0"	"WDFY3"
"SMYD3"	4.77556715774430e-35	-43.3427798343955	0.729	0.824	1.74790533540599e-30	"0"	"SMYD3"
"NCAM1"	4.91613668795021e-35	-28.7083141649697	0.536	0.707	1.79935518915666e-30	"0"	"NCAM1"
"FGF12"	5.49333450668316e-35	-34.543668164712	0.482	0.655	2.0106153627911e-30	"0"	"FGF12"
"BRAF"	5.72755848692085e-35	-26.0534088247119	0.532	0.705	2.0963436817979e-30	"0"	"BRAF"
"JMJD1C"	9.16692927876933e-35	-67.7040698277514	0.962	0.957	3.35518778532236e-30	"0"	"JMJD1C"
"APP"	1.10607575889347e-34	-77.8060047134502	0.279	0.506	4.04834788512598e-30	"0"	"APP"
"PHF21A"	1.20201301461146e-34	-19.4318173182264	0.266	0.492	4.3994878347794e-30	"0"	"PHF21A"
"RAPGEF5"	1.20701857060292e-34	-10.1191368552958	0.166	0.395	4.41780867026375e-30	"0"	"RAPGEF5"
"SIPA1L1"	1.27605843323891e-34	-30.4482116621184	0.366	0.573	4.67050147149774e-30	"0"	"SIPA1L1"
"DNM3"	1.84924026746362e-34	-46.3482283973969	0.754	0.827	6.76840430294360e-30	"0"	"DNM3"
"LRRC4C"	3.01997728419859e-34	-116.761427406088	0.488	0.642	1.10534188578953e-29	"0"	"LRRC4C"
"CELF2"	4.21374126616281e-34	-74.7237983651758	0.486	0.675	1.54227144082825e-29	"0"	"CELF2"
"DMD"	4.71003343822098e-34	-61.2289671944877	0.244	0.467	1.72391933872326e-29	"0"	"DMD"
"SUPT3H"	4.99018430318389e-34	-17.9672944327158	0.348	0.564	1.82645735680834e-29	"0"	"SUPT3H"
"RTN4"	9.49660396814677e-34	-13.2164522906547	0.307	0.531	3.4758520183814e-29	"0"	"RTN4"
"CLASP2"	1.00501855166672e-33	-21.5831784109219	0.878	0.903	3.67846840095535e-29	"0"	"CLASP2"
"STAG1"	1.34609526662338e-33	-30.73783741251	0.658	0.791	4.92684328536825e-29	"0"	"STAG1"
"MAP1B"	1.45806304254569e-33	-21.5037269166921	0.656	0.787	5.33665654202147e-29	"0"	"MAP1B"
"FAM155A"	1.52788915826819e-33	-272.155664834722	0.457	0.633	5.59222710817739e-29	"0"	"FAM155A"
"MED13L"	1.63328743620402e-33	-24.4647702778706	0.703	0.82	5.97799534525033e-29	"0"	"MED13L"
"ZNF704"	2.04417314153666e-33	-84.3349463830148	0.357	0.563	7.48187811533831e-29	"0"	"ZNF704"
"ADAM22"	2.24616915213697e-33	-24.384951708611	0.673	0.778	8.22120371373652e-29	"0"	"ADAM22"
"FAM172A"	3.16943110706679e-33	-15.7065709712687	0.322	0.545	1.16004347949751e-28	"0"	"FAM172A"
"AGAP1"	3.18624069875958e-33	-51.8058778357639	0.65	0.771	1.16619595815299e-28	"0"	"AGAP1"
"GSK3B"	3.52581616754665e-33	-52.4003612383296	0.358	0.579	1.29048397548375e-28	"0"	"GSK3B"
"PRKACB"	5.65040977144641e-33	-12.3096411258125	0.351	0.562	2.0681064804471e-28	"0"	"PRKACB"
"EXOC6B"	5.76997631472884e-33	-6.53317353590338	0.599	0.74	2.1118690309539e-28	"0"	"EXOC6B"
"FUT9"	8.61207321947668e-33	-42.6683609769604	0.416	0.609	3.15210491906066e-28	"0"	"FUT9"
"POU2F1"	1.37138947170642e-32	-27.562749640555	0.555	0.726	5.01942260539265e-28	"0"	"POU2F1"
"CLASP1"	1.39274598289087e-32	-28.6079156320428	0.632	0.776	5.09758957197887e-28	"0"	"CLASP1"
"MLLT10"	1.93638513166754e-32	-50.5421427507887	0.383	0.592	7.08736322041635e-28	"0"	"MLLT10"
"PHF14"	2.12462717341548e-32	-38.3018683951838	0.293	0.507	7.77634791741799e-28	"0"	"PHF14"
"ANKRD17"	2.6494734478763e-32	-24.6495722202991	0.493	0.672	9.69733776657204e-28	"0"	"ANKRD17"
"KMT2E"	3.63995957057579e-32	-908.532952486294	0.58	0.732	1.33226160242645e-27	"0"	"KMT2E"
"TRIO"	3.81594643996197e-32	-73.4738000273712	0.68	0.795	1.39667455649048e-27	"0"	"TRIO"
"IL1RAPL1"	5.11400135309205e-32	-90.053305560068	0.291	0.497	1.87177563524522e-27	"0"	"IL1RAPL1"
"NALCN"	6.96379943131494e-32	-26.3198083627621	0.326	0.537	2.54882022985558e-27	"0"	"NALCN"
"FAF1"	9.54817614186745e-32	-22.777020749263	0.555	0.736	3.4947279496849e-27	"0"	"FAF1"
"CADM1"	1.51789627118616e-31	-37.9188807323085	0.757	0.845	5.55565214216848e-27	"0"	"CADM1"
"ARHGAP26"	2.31792694917645e-31	-20.2876094956112	0.393	0.585	8.48384442668072e-27	"0"	"ARHGAP26"
"DST"	2.35145359070511e-31	-16.8835835017655	0.777	0.851	8.60655528733977e-27	"0"	"DST"
"DIP2C"	2.57545349688044e-31	-30.5299410832373	0.628	0.767	9.42641734393210e-27	"0"	"DIP2C"
"ERVMER61-1"	3.24830722987965e-31	-83.7895229596129	0.064	0.256	1.18891292920825e-26	"0"	"ERVMER61-1"
"CCNH"	3.31168269856185e-31	-25.7551567829115	0.471	0.639	1.21210898450062e-26	"0"	"CCNH"
"RIMS1"	3.94505190190627e-31	-83.5975985527249	0.891	0.872	1.44392844661671e-26	"0"	"RIMS1"
"FAM135A"	4.65979653563375e-31	-13.6155592588035	0.241	0.455	1.70553213000731e-26	"0"	"FAM135A"
"SH3GL2"	5.38553012207688e-31	-25.9054261679108	0.641	0.762	1.97115787998136e-26	"0"	"SH3GL2"
"MAP4K3"	6.20050886495733e-31	-15.5919298803132	0.437	0.622	2.26944824966303e-26	"0"	"MAP4K3"
"STAU2"	6.34636413438148e-31	-7.96909131671302	0.37	0.566	2.32283273682497e-26	"0"	"STAU2"
"ZNF638"	7.33412573250876e-31	-32.3902713091682	0.733	0.835	2.68436335935553e-26	"0"	"ZNF638"
"LPP"	7.36296200024049e-31	-27.5410512236354	0.294	0.5	2.69491772170802e-26	"0"	"LPP"
"PTK2"	7.79798415533969e-31	-42.9923862242221	0.632	0.753	2.85414018069588e-26	"0"	"PTK2"
"PPFIA2"	9.59878391106449e-31	-31.6274237281505	0.294	0.512	3.51325089928872e-26	"0"	"PPFIA2"
"PBX1"	9.67363463531709e-31	-16.5494178332786	0.281	0.498	3.54064701287241e-26	"0"	"PBX1"
"GABRB2"	1.23876385013593e-30	-32.8533246900423	0.542	0.684	4.53399956788253e-26	"0"	"GABRB2"
"AFF3"	2.28300501260297e-30	-47.2387064109904	0.704	0.799	8.35602664662814e-26	"0"	"AFF3"
"PPP6R3"	2.77018101617184e-30	-28.2273893672368	0.402	0.609	1.01391395372906e-25	"0"	"PPP6R3"
"NCOA2"	2.9393519421881e-30	-11.2029142102687	0.249	0.466	1.07583220436027e-25	"0"	"NCOA2"
"KMT2C"	3.08547135916771e-30	-57.381958093874	0.599	0.752	1.12931337216897e-25	"0"	"KMT2C"
"MAGI1"	3.44101147076737e-30	-15.9542575794815	0.754	0.832	1.25944460841557e-25	"0"	"MAGI1"
"MT-ND5"	4.04021672765717e-30	-1.60460822030067	0.038	0.215	1.4787597244898e-25	"0"	"MT-ND5"
"PSD3"	5.30733750552395e-30	-16.8529258568132	0.433	0.615	1.94253860039682e-25	"0"	"PSD3"
"ZNF521"	7.67351574474558e-30	-36.6587173402008	0.623	0.742	2.80858349773433e-25	"0"	"ZNF521"
